timestamp,open,high,low,close,volume
1768505400,188.39,189.38,187.19,187.42,1839080
1768509000,187.42,187.53,186.34,187.12,1579619
1768573800,189.07,190.43,187.63,187.64,3493321
1768577400,187.63,188.16,187.1,187.98,1505568
1768581000,187.98,188.375,187.63,188.03,990677
1768584600,188.02,188.25,187.43,187.94,919147
1768588200,187.93,188.41,187.65,187.69,878424
1768591800,187.69,188.02,187.62,187.75,961837
1768595400,187.73,187.87,186.08,186.09,1880373
1768919400,181.9,182.375,179.58,180.79,5899030
1768923000,180.78,181.85,179.81,180.32,2532646
1768926600,180.29,180.48,179.56,180.02,1986359
1768930200,180,180.09,179.28,179.52,1442184
1768933800,179.5,179.975,178.9,179.44,1566562
1768937400,179.43,179.63,178.36,178.49,1818198
1768941000,178.5,178.93,177.31,178.2,2365469
1769005800,179.05,180.96,178.42,180.82,2986265
1769009400,180.83,183.74,180.71,182.73,2717314
1769013000,182.73,182.75,179.35,179.44,1677284
1769016600,179.44,180.51,179.2,180.25,999409
1769020200,180.25,183.09,180.14,182.96,1164630
1769023800,182.98,185.37,182.87,183.77,3122095
1769027400,183.78,184.72,183.17,183.33,1696280
1769092200,184.75,186.16,183.94,184.87,3721263
1769095800,184.88,185.83,184.48,185.74,2017212
1769099400,185.74,186.17,184.66,184.98,1598558
1769103000,184.98,185.23,184.42,184.72,1134760
1769106600,184.71,184.875,184.285,184.66,718158
1769110200,184.65,184.86,184.095,184.1,1187500
1769113800,184.11,184.86,183.93,184.84,1023924
1769178600,187.53,189.6,186.83,187.65,3494617
1769182200,187.645,188.085,187.13,187.77,1456538
1769185800,187.75,188.23,187.2,187.74,1313568
1769189400,187.75,188.1,187.15,187.9,975328
1769193000,187.9,188.405,187.51,187.83,923379
1769196600,187.82,188.03,187.11,187.22,993365
1769200200,187.21,187.915,187.14,187.64,1226596
1769437800,187.18,189.12,186.85,187.34,2310700
1769441400,187.335,187.6,186.01,186.8,1352091
1769445000,186.81,187.245,186.445,186.66,829300
1769448600,186.65,186.7,185.98,186.42,809718
1769452200,186.42,187.08,186.42,186.57,601410
1769455800,186.57,186.67,186,186.45,590325
1769459400,186.45,186.8,186.31,186.38,748504
1769524200,187.24,189.5,185.71,188.92,3314154
1769527800,188.92,190,188.89,189.71,1825341
1769531400,189.71,190,189.41,189.69,964302
1769535000,189.68,190,188.91,189.48,1002758
1769538600,189.49,189.78,189.05,189.12,641136
1769542200,189.13,189.72,188.95,189.425,790398
1769545800,189.425,189.43,188.47,188.55,991843
1769610600,191.25,192.35,190.12,191.41,3436884
1769614200,191.405,192.04,190.725,191.78,1406843
1769617800,191.75,191.75,189.845,191.09,1203838
1769621400,191.08,191.785,190.83,191.72,775943
1769625000,191.75,192.21,191.38,191.52,903581
1769628600,191.51,192.32,190.91,191.62,1324282
1769632200,191.62,191.79,190.8,191.53,1158568
1769697000,191.34,193.48,188.29,188.935,3623226
1769700600,188.93,188.99,186.06,187.835,2567067
1769704200,187.82,189.84,187.69,189.545,1377166
1769707800,189.55,190.69,189.18,190.07,1103126
1769711400,190.05,190.775,189.71,190.36,711179
1769715000,190.36,191.45,190.02,190.95,1027392
1769718600,190.93,192.77,190.865,192.44,1825161
1769783400,191.26,193.43,190.92,191.65,3306579
1769787000,191.64,194.49,191.23,192.24,2860162
1769790600,192.23,193.075,191.58,192.84,1493341
1769794200,192.835,193.02,190.49,191.27,1421127
1769797800,191.27,191.92,190.52,191.48,1222732
1769801400,191.48,191.69,189.475,189.85,1472787
1769805000,189.83,191.74,189.79,191.39,2096593
1770042600,187.2,189.175,186.42,188.58,3566114
1770046200,188.585,189.38,187.87,189.15,1447841
1770049800,189.13,189.82,188.51,189.22,1162972
1770053400,189.215,190.29,189.115,189.74,1197687
1770057000,189.73,190.095,189.47,189.925,905259
1770060600,189.91,189.96,186.085,186.18,2305210
1770064200,186.185,186.31,184.88,185.67,2118687
1770129000,186.21,186.26,179.56,180.27,5538331
1770132600,180.28,180.96,179.08,179.1,2393576
1770136200,179.11,180.49,179.1,180,1584345
1770139800,180,180.08,178.655,179.17,1784911
1770143400,179.15,179.52,178.05,178.7,1645327
1770147000,178.7,179.02,176.23,178.695,2542514
1770150600,178.68,180.6,178.68,180.275,1549689
1770215400,179.46,179.58,176.63,177.2,3447899
1770219000,177.2,177.55,174.49,175.25,3124519
1770222600,175.24,175.3,173.26,173.35,2135367
1770226200,173.34,174.315,171.91,174.13,2535916
1770229800,174.13,175.01,172.9,174.94,1908151
1770233400,174.931,176.14,174.26,175.28,2036777
1770237000,175.27,175.9,174.19,174.19,1797261
1770301800,174.94,176.815,171.31,171.58,4198201
1770305400,171.58,174.249,171.44,174.249,2585191
1770309000,174.245,175.77,174.185,175.28,1869984
1770312600,175.3,175.67,174.02,174.32,1096255
1770316200,174.29,174.75,172.9,173.67,1100289
1770319800,173.66,174.22,172.18,172.27,1434957
1770323400,172.26,172.54,171.03,171.87,2017906
1770388200,176.66,182.88,174.6,182.65,6595110
1770391800,182.64,184.28,181.8,183.98,3750351
1770395400,183.975,184.645,182.91,184.53,2215280
1770399000,184.53,185.175,184.21,184.51,1948468
1770402600,184.515,185.02,184.14,184.45,1323349
1770406200,184.45,185.59,184.3,185.315,2203670
1770409800,185.33,187,185.19,185.27,2694414
1770647400,184.24,193.66,183.92,190.68,8032641
1770651000,190.7,192.15,190.7,191.835,2257011
1770654600,191.82,192.52,191.31,191.59,1793374
